nbapersonid,player,draftyear,draftpick,season,nbateamid,team,games,games_start,mins,fgm,fga,fgp,fgm3,fga3,fgp3,fgm2,fga2,fgp2,efg,ftm,fta,ftp,off_reb,def_reb,tot_reb,ast,steals,blocks,tov,tot_fouls,points
101165,Alex Acker,2005,60,2008,1610612765,DET,7,0.0,20.0,4,11,0.36363636363636365,0.0,4.0,0.0,4.0,7.0,0.5714285714285714,0.36363636363636365,1,2,0.5,0.0,2.0,2.0,1,2.0,1.0,0.0,0,9
101165,Alex Acker,2005,60,2008,1610612746,LAC,18,0.0,179.0,26,65,0.4,7.0,16.0,0.4375,19.0,49.0,0.3877551020408163,0.45384615384615384,4,8,0.5,8.0,14.0,22.0,11,3.0,3.0,7.0,9,63
76009,Mark Acres,1985,40,1987,1610612738,BOS,79,5.0,1151.0,108,203,0.5320197044334976,0.0,0.0,0.0,108.0,203.0,0.5320197044334976,0.5320197044334976,71,111,0.6396396396396397,105.0,165.0,270.0,42,29.0,27.0,54.0,198,287
76009,Mark Acres,1985,40,1988,1610612738,BOS,62,0.0,632.0,55,114,0.4824561403508772,1.0,1.0,1.0,54.0,113.0,0.4778761061946903,0.4868421052631579,26,48,0.5416666666666666,59.0,87.0,146.0,19,19.0,6.0,23.0,94,137
76009,Mark Acres,1985,40,1989,1610612753,ORL,80,50.0,1691.0,138,285,0.4842105263157895,3.0,4.0,0.75,135.0,281.0,0.4804270462633452,0.48947368421052634,83,120,0.6916666666666667,154.0,277.0,431.0,67,36.0,25.0,70.0,248,362
76009,Mark Acres,1985,40,1990,1610612753,ORL,68,0.0,1313.0,109,214,0.5093457943925234,1.0,3.0,0.3333333333333333,108.0,211.0,0.5118483412322274,0.5116822429906542,66,101,0.6534653465346535,140.0,219.0,359.0,25,25.0,25.0,42.0,218,285
76009,Mark Acres,1985,40,1991,1610612753,ORL,68,6.0,926.0,78,151,0.5165562913907285,1.0,3.0,0.3333333333333333,77.0,148.0,0.5202702702702703,0.5198675496688742,51,67,0.7611940298507462,97.0,155.0,252.0,22,25.0,15.0,33.0,140,208
76009,Mark Acres,1985,40,1992,1610612745,HOU,6,0.0,23.0,2,9,0.2222222222222222,1.0,2.0,0.5,1.0,7.0,0.14285714285714285,0.2777777777777778,1,2,0.5,2.0,4.0,6.0,0,0.0,0.0,2.0,2,6
76009,Mark Acres,1985,40,1992,1610612764,WAS,12,7.0,246.0,24,40,0.6,0.0,0.0,0.0,24.0,40.0,0.6,0.6,10,14,0.7142857142857143,24.0,37.0,61.0,5,3.0,6.0,11.0,32,58
203112,Quincy Acy,2012,37,2012,1610612761,TOR,29,0.0,342.0,42,75,0.56,1.0,2.0,0.5,41.0,73.0,0.5616438356164384,0.5666666666666667,31,38,0.8157894736842105,30.0,47.0,77.0,11,13.0,15.0,17.0,53,116
203112,Quincy Acy,2012,37,2013,1610612761,TOR,7,0.0,61.0,6,14,0.42857142857142855,2.0,5.0,0.4,4.0,9.0,0.4444444444444444,0.5,5,8,0.625,5.0,10.0,15.0,4,4.0,3.0,2.0,8,19
203112,Quincy Acy,2012,37,2013,1610612758,SAC,56,0.0,786.0,60,127,0.47244094488188976,2.0,10.0,0.2,58.0,117.0,0.49572649572649574,0.48031496062992124,30,45,0.6666666666666666,67.0,134.0,201.0,24,19.0,23.0,28.0,114,152
203112,Quincy Acy,2012,37,2014,1610612752,NYK,68,22.0,1287.0,152,331,0.459214501510574,18.0,60.0,0.3,134.0,271.0,0.4944649446494465,0.486404833836858,76,97,0.7835051546391752,79.0,222.0,301.0,68,27.0,22.0,60.0,147,398
203112,Quincy Acy,2012,37,2015,1610612758,SAC,59,29.0,876.0,119,214,0.5560747663551402,19.0,49.0,0.3877551020408163,100.0,165.0,0.6060606060606061,0.6004672897196262,50,68,0.7352941176470589,65.0,123.0,188.0,27,29.0,24.0,27.0,103,307
203112,Quincy Acy,2012,37,2016,1610612742,DAL,6,0.0,48.0,5,17,0.29411764705882354,1.0,7.0,0.14285714285714285,4.0,10.0,0.4,0.3235294117647059,2,3,0.6666666666666666,2.0,6.0,8.0,0,0.0,0.0,2.0,9,13
203112,Quincy Acy,2012,37,2016,1610612751,BKN,32,1.0,510.0,65,153,0.42483660130718953,36.0,83.0,0.43373493975903615,29.0,70.0,0.4142857142857143,0.5424836601307189,43,57,0.7543859649122807,18.0,89.0,107.0,18,14.0,15.0,19.0,58,209
203112,Quincy Acy,2012,37,2017,1610612751,BKN,70,8.0,1359.0,130,365,0.3561643835616438,102.0,292.0,0.3493150684931507,28.0,73.0,0.3835616438356164,0.4958904109589041,49,60,0.8166666666666667,40.0,217.0,257.0,57,33.0,29.0,60.0,149,411
203112,Quincy Acy,2012,37,2018,1610612756,PHX,10,0.0,123.0,4,18,0.2222222222222222,2.0,15.0,0.13333333333333333,2.0,3.0,0.6666666666666666,0.2777777777777778,7,10,0.7,3.0,22.0,25.0,8,1.0,4.0,4.0,24,17
76011,Alvan Adams,1975,4,1983,1610612756,PHX,70,13.0,1452.0,269,582,0.46219931271477666,0.0,4.0,0.0,269.0,578.0,0.46539792387543255,0.46219931271477666,132,160,0.825,118.0,201.0,319.0,219,73.0,31.0,117.0,195,670
76011,Alvan Adams,1975,4,1984,1610612756,PHX,82,69.0,2136.0,476,915,0.5202185792349727,0.0,0.0,0.0,476.0,915.0,0.5202185792349727,0.5202185792349727,250,283,0.8833922261484098,153.0,347.0,500.0,308,115.0,48.0,197.0,254,1202
76011,Alvan Adams,1975,4,1985,1610612756,PHX,78,45.0,2005.0,341,679,0.5022091310751104,0.0,2.0,0.0,341.0,677.0,0.5036927621861153,0.5022091310751104,159,203,0.7832512315270936,148.0,329.0,477.0,324,103.0,46.0,206.0,272,841
